report_id,round,round_type,question_text,topic,needs_review,review_reason
AMZ013,Technical phone screen,behavioral,nan,resume/project discussion,False,nan
AMZ013,Technical phone screen,technical,heap-based scheduling problem,nan,False,nan
AMZ013,Onsite rounds,technical,nan,onsite rounds,True,Mentions onsite rounds followed without specific question or topic details
AMZ014,OA,OA,nan,debugging,False,nan
AMZ014,OA,behavioral,nan,workstyle,False,nan
AMZ014,OA,OA,nan,reasoning,False,nan
AMZ014,OA,OA,Merge Two Sorted Lists,nan,False,nan
AMZ014,OA,OA,Clone Linked List with Random Pointer,nan,False,nan
AMZ014,Interview,technical,Trapping Rainwater,nan,False,nan
AMZ014,Interview,technical,Reverse Linked List,nan,False,nan
AMZ015,OA,OA,nan,two array-based coding problems,True,Mentions two array-based coding problems without specific problem names
AMZ015,Technical interviews,technical,nan,technical interviews,True,General mention of technical interviews without specific question or topic details
AMZ016,OA,OA,,HackerRank coding problems,True,OA mentions HackerRank coding problems without specific problem names
AMZ016,OA,behavioral,,behavioral assessment,False,
AMZ016,Round 1,technical,sort prime and non-prime orders,,False,
AMZ016,Round 1,technical,Shortest path in a grid,,False,
AMZ016,Round 2,system_design,LED system design using OOP/SOLID principles,,False,
AMZ016,Round 3,technical,Longest Increasing Subsequence bridge problem,,False,
AMZ016,Round 3,technical,First non-repeating character in a data stream,,False,
AMZ017,OA,OA,,coding problems,True,OA mentions coding problems without specific problem titles
AMZ017,OA,behavioral,,workstyle assessment,False,
AMZ017,Round 1,technical,Queue using Stacks,,False,
AMZ017,Round 1,technical,Symmetry in n-ary tree,,False,
AMZ017,Round 2,technical,Linked list manipulation,,False,
AMZ017,Round 2,technical,Binary search on modified sorted array,,False,
AMZ018,OA,OA,,two coding problems,True,OA mentions two coding problems without specific problem names
AMZ018,Round 1,technical,Maximum Width of Binary Tree,,False,
AMZ018,Round 1,technical,Next Greater Element,,False,
AMZ018,Round 2,behavioral,,Leadership Principles,False,
AMZ018,Round 2,behavioral,,project challenges,False,
AMZ019,OA,OA,Maximum Subarray Sum,,False,
AMZ019,OA,OA,,string manipulation,False,
AMZ019,Technical Round 1,technical,Connect Ropes with Minimum Cost,,False,
AMZ019,Technical Round 1,technical,Left View of a Binary Tree,,False,
AMZ019,Technical Round 2,behavioral,,Leadership Principles,False,
AMZ019,Technical Round 2,behavioral,,project deep dive,False,
AMZ020,OA,OA,,greedy and dynamic programming problems,True,OA mentions greedy and DP problems without specific problem names
AMZ020,Technical Round 1,technical,Minimum Skips to Arrive at Meeting on Time variant,,False,
AMZ020,Technical Round 1,technical,,OS and CN fundamentals,False,
AMZ021,OA,OA,,two coding problems,True,OA mentions two coding problems without specific titles
AMZ021,OA,behavioral,,workstyle,False,
AMZ021,Round 1,technical,Lowest Common Ancestor in Binary Tree,,False,
AMZ021,Round 1,technical,Topological Sort,,False,
AMZ021,Round 2,behavioral,,Leadership Principles,False,
AMZ021,Round 2,technical,,CS fundamentals,False,
AMZ022,OA,OA,,two coding questions,True,OA mentions two coding questions without specific titles
AMZ022,OA,behavioral,,workstyle,False,
AMZ022,Technical Round 1,technical,Rotten Oranges BFS,,False,
AMZ022,Technical Round 1,technical,Course Schedule topological sort,,False,
AMZ022,Technical Round 2,behavioral,,Leadership Principles,False,
AMZ022,Technical Round 2,behavioral,,resume discussion,False,
